거래년도,건설공사비지수_건설_소계,건설공사비지수_주거용건물,건설공사비지수_비주거용건물,건설공사비지수_건축보수,거래분기
2014,84.69666666666667,83.91000000000001,84.67,84.73,1Q
2014,84.81333333333333,84.24333333333333,84.85000000000001,84.86666666666666,2Q
2014,84.92999999999999,84.37333333333333,84.96333333333332,85.14,3Q
2014,85.42,84.92999999999999,85.45333333333333,85.76333333333334,4Q
2015,85.49000000000001,85.10666666666667,85.55,85.98333333333333,1Q
2015,85.04666666666667,84.63,85.07666666666667,85.72666666666667,2Q
2015,85.18333333333334,84.86333333333333,85.31333333333333,86.01333333333334,3Q
2015,85.24333333333333,85.01333333333334,85.40333333333335,86.24000000000001,4Q
2016,85.25666666666666,85.25333333333333,85.60666666666667,86.67666666666666,1Q
2016,86.21333333333332,86.27,86.54,87.37,2Q
2016,86.83,86.94,87.14333333333333,87.88333333333333,3Q
2016,88.0,88.0,88.21333333333332,88.81666666666666,4Q
2017,90.10666666666667,89.98,90.24333333333334,90.67,1Q
2017,89.98333333333333,89.95666666666666,90.18333333333334,90.61,2Q
2017,90.56,90.46333333333332,90.69666666666666,91.08666666666666,3Q
2017,92.07000000000001,91.92333333333333,92.14999999999999,92.28666666666668,4Q
2018,93.55666666666666,93.45,93.63,93.81333333333333,1Q
2018,93.86333333333333,93.73666666666668,93.95,94.08,2Q
2018,94.80666666666667,94.71,94.96333333333332,94.88666666666667,3Q
2018,96.20333333333333,96.17,96.32333333333334,96.09666666666668,4Q
2019,97.65333333333335,97.57,97.68,97.59333333333332,1Q
2019,97.74666666666667,97.63666666666667,97.71,97.65333333333332,2Q
2019,98.11333333333333,97.97333333333334,98.05,97.98666666666666,3Q
2019,98.66333333333334,98.50333333333333,98.55333333333333,98.51333333333334,4Q
2020,99.73,99.64,99.64999999999999,99.70666666666666,1Q
2020,99.28666666666668,99.41666666666667,99.37666666666667,99.41666666666667,2Q
2020,99.76666666666667,99.79333333333334,99.76333333333332,99.79333333333334,3Q
2020,101.21333333333332,101.14666666666666,101.20666666666666,101.08333333333333,4Q
2021,104.89999999999999,104.45666666666666,104.85333333333334,104.68333333333334,1Q
2021,109.86666666666667,109.27333333333333,110.02333333333333,109.78333333333335,2Q
2021,114.05333333333333,113.31666666666666,114.44333333333333,114.22000000000001,3Q
2021,117.11666666666667,116.20666666666666,117.56666666666666,117.36,4Q
2022,120.45666666666666,119.42999999999999,120.65666666666668,120.71333333333332,1Q
2022,124.26333333333332,123.04666666666667,124.27333333333333,123.92333333333333,2Q
2022,124.95666666666666,123.81,124.93333333333332,124.7,3Q
2022,125.54333333333334,124.30333333333333,125.27333333333333,124.80333333333333,4Q
2023,127.2,126.10333333333334,126.94,126.22666666666667,1Q
2023,127.42,126.46666666666665,127.29,126.13,2Q
2023,128.02,127.0,127.82333333333334,126.62333333333333,3Q
2023,128.95000000000002,128.00333333333333,128.72666666666666,127.57666666666667,4Q
2024,129.95666666666668,129.09333333333333,129.67666666666668,128.58,1Q
2024,130.13,129.04333333333332,129.69000000000003,128.7,2Q
